Customer ID,Comments
1,I've decided to shop elsewhere due to the high prices.. The organic section is excellent..
2,Nice selection of alcoholic drinks.. Prices are too high for me.
3,Regular shopping here never disappoints.. Cleaning supplies are always available..
4,Love the variety for kids' products.. I no longer visit this store due to past experiences..
5,Perfect for kids' products.. I stopped shopping here as I couldn't find what I needed..
6,Prices are too high for me. Love the variety for kids' products..
7,This store has been a pleasant surprise as a new shopper..
8,Prices are too high for me. Love the organic fruits and vegetables..
9,Excellent selection of snacks for kids.. I'm a frequent shopper and I love it here..
10,Moved to a different store. Good variety of wines and beers..
11,I'm thrilled by the discounts for new shoppers..
12,Love the organic variety for cooking..
13,Moved to a different store. Love the variety of products for children..
14,Nice selection of alcoholic drinks.. Prices are too high for me.
15,A great place for organic options for my meals..
16,Cleaning supplies are always stocked.. Shopping here for a while now and it's always satisfying..
17,Easy to find everything for my kids here.. Moved to a different store.
18,Regular shopping here never disappoints.. A one-stop shop for all household chores..
19,The organic section is excellent.. Prices are too high for me.
20,Moved to a different store. Love the variety for kids' products..
21,Fantastic deals on alcoholic beverages.. I just started shopping here and I'm very impressed..
22,I enjoy the fresh produce selection for cooking..
23,Top-notch selection of organic meats.. Prices are too high for me.
24,The organic section is excellent.. Prices are too high for me.
25,I'm a frequent shopper and I love it here.. I appreciate the discounts on cleaning products..
26,Easy to find everything for my kids here.. Shopping here for a while now and it's always satisfying..
27,I've decided to shop elsewhere due to the high prices.. Great for wine and beer lovers..
28,"As a new customer, I find the selection here wonderful.."
29,I've been a regular shopper and always find everything I need.. Convenient for all my household chores..
30,Nice selection of alcoholic drinks.. Prices are too high for me.
31,Easy to find everything for my kids here.. The prices were beyond my budget..
32,Fantastic organic variety.. Prices are too high for me.
33,Cleaning supplies are always stocked.. I'm a frequent shopper and I love it here..
34,Moved to a different store. Fantastic selection for home-cooked meals..
35,The produce is always fresh and there's a wide variety.. Convenient for all my household chores..
36,The deals on alcohol are great.. Stopped coming here because it didn't meet my needs..
37,Cleaning supplies are always stocked.. Shopping here for a while now and it's always satisfying..
38,Cleaning supplies are always stocked.. This place is my preferred store for all my needs..
39,Love the organic variety for cooking.. Moved to a different store.
40,"As a new customer, I find the selection here wonderful.. Nice selection of alcoholic drinks.."
41,Shopping here as a new customer has been great..
42,Moved to a different store. Love the variety for kids' products..
43,I stopped shopping here as I couldn't find what I needed.. Fantastic deals on alcoholic beverages..
44,This store meets all my household needs.. I'm a frequent shopper and I love it here..
45,I stopped shopping here as I couldn't find what I needed.. Always find great organic products..
46,Love the variety for kids' products.. I've moved to another store for better deals..
47,Fantastic selection for home-cooked meals..
48,Top-notch selection of organic meats.. The prices were beyond my budget..
49,Moved to a different store. Always something new to try..
50,The prices were beyond my budget.. Love the variety for kids' products..
51,Fantastic organic variety.. Moved to a different store.
52,Cleaning supplies are always available.. Shopping here for a while now and it's always satisfying..
53,This store has been a pleasant surprise as a new shopper..
54,Fantastic deals on alcoholic beverages.. Shopping here as a new customer has been great..
55,I just started shopping here and I'm very impressed..
56,Fantastic organic variety.. Prices are too high for me.
57,Great selection of cleaning supplies.. Shopping here for a while now and it's always satisfying..
58,Moved to a different store. Top-notch selection of organic meats..
59,I stopped shopping here as I couldn't find what I needed.. I enjoy the fresh produce selection for cooking..
60,Great for wine and beer lovers.. I just started shopping here and I'm very impressed..
61,Love the organic fruits and vegetables.. Stopped coming here because it didn't meet my needs..
62,Moved to a different store. Fantastic selection for home-cooked meals..
63,Regular shopping here never disappoints.. Great place for family shopping..
64,I stopped shopping here as I couldn't find what I needed.. I enjoy the fresh produce selection for cooking..
65,I no longer visit this store due to past experiences.. Fantastic selection for home-cooked meals..
66,Always something new to try.. Shopping here as a new customer has been great..
67,This store has been a pleasant surprise as a new shopper..
68,This store has been a pleasant surprise as a new shopper.. Fantastic deals on alcoholic beverages..
69,Regular shopping here never disappoints.. Cleaning supplies are always stocked..
70,"As a new customer, I find the selection here wonderful.."
71,A one-stop shop for all household chores.. I'm a frequent shopper and I love it here..
72,A one-stop shop for all household chores.. The produce is always fresh and there's a wide variety..
73,Prices are too high for me. The deals on alcohol are great..
74,Moved to a different store. Top-notch selection of organic meats..
75,Perfect for kids' products.. Moved to a different store.
76,Love the variety for kids' products.. I've moved to another store for better deals..
77,Fantastic deals on alcoholic beverages.. Prices are too high for me.
78,The ingredients here are perfect for my recipes..
79,I stopped shopping here as I couldn't find what I needed.. I enjoy the fresh produce selection for cooking..
80,The deals on alcohol are great.. The prices were beyond my budget..
81,Moved to a different store. Love the variety of products for children..
82,Regular shopping here never disappoints.. Cleaning supplies are always stocked..
83,Always something new to try.. I just started shopping here and I'm very impressed..
84,"As a new customer, I find the selection here wonderful.. Fantastic deals on alcoholic beverages.."
85,Best place for organic items.. Moved to a different store.
86,Prices are too high for me. Love the variety for kids' products..
87,The quality of cooking ingredients is top-notch..
88,The ingredients here are perfect for my recipes.. Moved to a different store.
89,Easy to find everything for my kids here.. Moved to a different store.
90,Good variety of wines and beers.. I just started shopping here and I'm very impressed..
91,A great place for organic options for my meals.. Stopped coming here because it didn't meet my needs..
92,Regular shopping here never disappoints.. Great place for family shopping..
93,Great for wine and beer lovers.. The prices were beyond my budget..
94,Great place for family shopping.. Prices are too high for me.
95,Moved to a different store. Love the organic fruits and vegetables..
96,Easy to find everything for my kids here.. I've decided to shop elsewhere due to the high prices..
97,I've been a regular shopper and always find everything I need.. Love the variety for kids' products..
98,The produce is always fresh and there's a wide variety.. Convenient for all my household chores..
99,Perfect for kids' products.. Prices are too high for me.
100,Moved to a different store. Love the organic fruits and vegetables..
101,Moved to a different store. Love the organic fruits and vegetables..
102,Love the organic variety for cooking..
103,Top-notch selection of organic meats.. Prices are too high for me.
104,I've decided to shop elsewhere due to the high prices.. Top-notch selection of organic meats..
105,Great for wine and beer lovers.. Prices are too high for me.
106,Moved to a different store. Great for wine and beer lovers..
107,"As a new customer, I find the selection here wonderful.. Fantastic deals on alcoholic beverages.."
108,Regular shopping here never disappoints.. Cleaning supplies are always stocked..
109,I've decided to shop elsewhere due to the high prices.. Top-notch selection of organic meats..
110,The organic section is excellent.. Prices are too high for me.
111,Regular shopping here never disappoints.. Cleaning supplies are always available..
112,Moved to a different store. Great for wine and beer lovers..
113,I'm a frequent shopper and I love it here.. Love the variety for kids' products..
114,Cleaning supplies are always stocked.. I'm a frequent shopper and I love it here..
115,I enjoy the fresh produce selection for cooking.. The prices were beyond my budget..
116,The ingredients here are perfect for my recipes.. Prices are too high for me.
117,Cleaning supplies are always stocked.. I'm a frequent shopper and I love it here..
118,Regular shopping here never disappoints.. Cleaning supplies are always available..
119,I'm a frequent shopper and I love it here.. Convenient for all my household chores..
120,Great place for family shopping.. Moved to a different store.
121,Easy to find everything for my kids here.. I've moved to another store for better deals..
122,Moved to a different store. Love the variety for kids' products..
123,Fantastic deals on alcoholic beverages.. Prices are too high for me.
124,I just started shopping here and I'm very impressed..
125,Great place for family shopping.. Moved to a different store.
126,Perfect for kids' products.. Shopping here for a while now and it's always satisfying..
127,This store has been a pleasant surprise as a new shopper.. The deals on alcohol are great..
128,Moved to a different store. Top-notch selection of organic meats..
129,Perfect for kids' products.. I'm a frequent shopper and I love it here..
130,Great place for family shopping.. This place is my preferred store for all my needs..
131,A great place for organic options for my meals..
132,Convenient shopping for my entire family.. Prices are too high for me.
133,Best place for organic items.. Prices are too high for me.
134,Moved to a different store. Love the organic fruits and vegetables..
135,Great for wine and beer lovers.. Prices are too high for me.
136,Best place for organic items.. I stopped shopping here as I couldn't find what I needed..
137,Excellent selection of snacks for kids.. Shopping here for a while now and it's always satisfying..
138,Fantastic organic variety.. Prices are too high for me.
139,Prices are too high for me. Love the variety for kids' products..
140,I've decided to shop elsewhere due to the high prices.. Nice selection of alcoholic drinks..
141,Moved to a different store. The organic section is excellent..
142,Love the organic variety for cooking.. Moved to a different store.
143,The ingredients here are perfect for my recipes..
144,Moved to a different store. Great for wine and beer lovers..
145,Great place for family shopping.. I'm a frequent shopper and I love it here..
146,I've been a regular shopper and always find everything I need.. Cleaning supplies are always stocked..
147,Best place for organic items.. Moved to a different store.
148,Prices are too high for me. Love the variety for kids' products..
149,A great place for organic options for my meals.. Prices are too high for me.
150,Top-notch selection of organic meats.. Prices are too high for me.
151,Prices are too high for me. Love the variety for kids' products..
152,"As a newcomer, I love the variety and offers.. Always something new to try.."
153,Great for wine and beer lovers.. Stopped coming here because it didn't meet my needs..
154,Love the organic variety for cooking..
155,Top-notch selection of organic meats.. I no longer visit this store due to past experiences..
156,Moved to a different store. Top-notch selection of organic meats..
157,Love the organic variety for cooking.. Prices are too high for me.
158,Fantastic selection for home-cooked meals..
159,Fantastic deals on alcoholic beverages.. Prices are too high for me.
160,Nice selection of alcoholic drinks.. Shopping here as a new customer has been great..
161,A great place for organic options for my meals.. I no longer visit this store due to past experiences..
162,Prices are too high for me. Love the variety of products for children..
163,Prices are too high for me. Love the variety of products for children..
164,Prices are too high for me. Love the variety for kids' products..
165,Moved to a different store. Nice selection of alcoholic drinks..
166,I no longer visit this store due to past experiences.. Love the organic fruits and vegetables..
167,Love the variety for kids' products.. I no longer visit this store due to past experiences..
168,"As a new customer, I find the selection here wonderful.."
169,Perfect for kids' products.. Prices are too high for me.
170,Best place for organic items.. I stopped shopping here as I couldn't find what I needed..
171,The deals on alcohol are great.. Shopping here as a new customer has been great..
172,Moved to a different store. The organic section is excellent..
173,Great for wine and beer lovers.. Shopping here as a new customer has been great..
174,The ingredients here are perfect for my recipes..
175,Good variety of wines and beers.. Stopped coming here because it didn't meet my needs..
176,I've moved to another store for better deals.. Always find great organic products..
177,Moved to a different store. Fantastic selection for home-cooked meals..
178,Convenient shopping for my entire family.. I no longer visit this store due to past experiences..
179,I've been a regular shopper and always find everything I need.. Cleaning supplies are always stocked..
180,"As a newcomer, I love the variety and offers.."
181,Prices are too high for me. Love the variety for kids' products..
182,The ingredients here are perfect for my recipes.. I no longer visit this store due to past experiences..
183,Great for wine and beer lovers.. Prices are too high for me.
184,A great place for organic options for my meals..
185,Top-notch selection of organic meats.. Prices are too high for me.
186,Prices are too high for me. Love the variety of products for children..
187,Moved to a different store. Top-notch selection of organic meats..
188,Moved to a different store. Great for wine and beer lovers..
189,I stopped shopping here as I couldn't find what I needed.. The organic section is excellent..
190,I've been a regular shopper and always find everything I need.. Convenient for all my household chores..
191,A one-stop shop for all household chores.. Shopping here for a while now and it's always satisfying..
192,Great place for family shopping.. Prices are too high for me.
193,I no longer visit this store due to past experiences.. Always find great organic products..
194,Easy to find everything for my kids here.. I've moved to another store for better deals..
195,I'm thrilled by the discounts for new shoppers.. Good variety of wines and beers..
196,Prices are too high for me. Love the variety for kids' products..
197,This place is my preferred store for all my needs.. A one-stop shop for all household chores..
198,Excellent selection of snacks for kids.. I no longer visit this store due to past experiences..
199,The deals on alcohol are great.. I've moved to another store for better deals..
200,Moved to a different store. Always something new to try..
